benchmark,type,key,value
gemver,futil-sc,f8_muxes,0
gemver,futil-sc,f9_muxes,0
gemver,futil-sc,clb,3196
gemver,futil-sc,meet_timing,1
gemver,futil-sc,worst_slack,3.299
gemver,futil-sc,period,7.0
gemver,futil-sc,frequency,142.857
gemver,futil-sc,uram,-1
gemver,futil-sc,cell_lut1,19
gemver,futil-sc,cell_lut2,584
gemver,futil-sc,cell_lut3,113
gemver,futil-sc,cell_lut4,83
gemver,futil-sc,cell_lut5,167
gemver,futil-sc,cell_lut6,475
gemver,futil-sc,cell_fdre,1856
2mm,futil-sc,lut,939
2mm,futil-sc,dsp,12
2mm,futil-sc,registers,124
2mm,futil-sc,muxes,96
2mm,futil-sc,clb_registers,1144
2mm,futil-sc,carry8,16
2mm,futil-sc,f7_muxes,0
2mm,futil-sc,f8_muxes,0
2mm,futil-sc,f9_muxes,0
2mm,futil-sc,clb,2099
2mm,futil-sc,meet_timing,1
2mm,futil-sc,worst_slack,3.261
2mm,futil-sc,period,7.0
2mm,futil-sc,frequency,142.857
2mm,futil-sc,uram,-1
2mm,futil-sc,cell_lut1,20
2mm,futil-sc,cell_lut2,289
2mm,futil-sc,cell_lut3,56
2mm,futil-sc,cell_lut4,155
2mm,futil-sc,cell_lut5,215
2mm,futil-sc,cell_lut6,249
2mm,futil-sc,cell_fdre,1144
syr2k,futil-sc,lut,795
syr2k,futil-sc,dsp,15
syr2k,futil-sc,registers,99
syr2k,futil-sc,muxes,68
syr2k,futil-sc,clb_registers,792
syr2k,futil-sc,carry8,18
syr2k,futil-sc,f7_muxes,0
syr2k,futil-sc,f8_muxes,0
syr2k,futil-sc,f9_muxes,0
syr2k,futil-sc,clb,1605
syr2k,futil-sc,meet_timing,1
syr2k,futil-sc,worst_slack,3.449
syr2k,futil-sc,period,7.0
syr2k,futil-sc,frequency,142.857
syr2k,futil-sc,uram,-1
syr2k,futil-sc,cell_lut1,2
syr2k,futil-sc,cell_lut2,492
syr2k,futil-sc,cell_lut3,28
syr2k,futil-sc,cell_lut4,151
syr2k,futil-sc,cell_lut5,74
syr2k,futil-sc,cell_lut6,171
syr2k,futil-sc,cell_fdre,792
atax,futil-sc,lut,517
atax,futil-sc,dsp,6
atax,futil-sc,registers,76
atax,futil-sc,muxes,51
atax,futil-sc,clb_registers,648
atax,futil-sc,carry8,12
atax,futil-sc,f7_muxes,0
atax,futil-sc,f8_muxes,0
atax,futil-sc,f9_muxes,0
atax,futil-sc,clb,1177
atax,futil-sc,meet_timing,1
atax,futil-sc,worst_slack,3.635
atax,futil-sc,period,7.0
atax,futil-sc,frequency,142.857
atax,futil-sc,uram,-1
atax,futil-sc,cell_lut1,12
atax,futil-sc,cell_lut2,242
atax,futil-sc,cell_lut3,46
atax,futil-sc,cell_lut4,40
atax,futil-sc,cell_lut5,200
atax,futil-sc,cell_lut6,52
atax,futil-sc,cell_fdre,648
cholesky,futil-sc,lut,646
cholesky,futil-sc,dsp,6
cholesky,futil-sc,registers,75
cholesky,futil-sc,muxes,40
cholesky,futil-sc,clb_registers,786
cholesky,futil-sc,carry8,27
cholesky,futil-sc,f7_muxes,0
cholesky,futil-sc,f8_muxes,0
cholesky,futil-sc,f9_muxes,0
cholesky,futil-sc,clb,1459
cholesky,futil-sc,meet_timing,1
cholesky,futil-sc,worst_slack,4.188
cholesky,futil-sc,period,7.0
cholesky,futil-sc,frequency,142.857
cholesky,futil-sc,uram,-1
cholesky,futil-sc,cell_lut1,7
cholesky,futil-sc,cell_lut2,247
cholesky,futil-sc,cell_lut3,115
cholesky,futil-sc,cell_lut4,144
cholesky,futil-sc,cell_lut5,85
cholesky,futil-sc,cell_lut6,201
cholesky,futil-sc,cell_fdre,785
gesummv,futil-sc,lut,771
gesummv,futil-sc,dsp,12
gesummv,futil-sc,registers,110
gesummv,futil-sc,muxes,67
gesummv,futil-sc,clb_registers,1125
gesummv,futil-sc,carry8,20
gesummv,futil-sc,f7_muxes,0
gesummv,futil-sc,f8_muxes,0
gesummv,futil-sc,f9_muxes,0
gesummv,futil-sc,clb,1916
gesummv,futil-sc,meet_timing,1
gesummv,futil-sc,worst_slack,3.75
gesummv,futil-sc,period,7.0
gesummv,futil-sc,frequency,142.857
gesummv,futil-sc,uram,-1
gesummv,futil-sc,cell_lut1,2
gesummv,futil-sc,cell_lut2,430
gesummv,futil-sc,cell_lut3,35
gesummv,futil-sc,cell_lut4,122
gesummv,futil-sc,cell_lut5,75
gesummv,futil-sc,cell_lut6,210
gesummv,futil-sc,cell_fdre,1125
gramschmidt,futil-sc,lut,1255
gramschmidt,futil-sc,dsp,9
gramschmidt,futil-sc,registers,132
gramschmidt,futil-sc,muxes,105
gramschmidt,futil-sc,clb_registers,1286
gramschmidt,futil-sc,carry8,31
gramschmidt,futil-sc,f7_muxes,32
gramschmidt,futil-sc,f8_muxes,0
gramschmidt,futil-sc,f9_muxes,0
gramschmidt,futil-sc,clb,2604
gramschmidt,futil-sc,meet_timing,1
gramschmidt,futil-sc,worst_slack,3.074
gramschmidt,futil-sc,period,7.0
gramschmidt,futil-sc,frequency,142.857
gramschmidt,futil-sc,uram,-1
gramschmidt,futil-sc,cell_lut1,7
gramschmidt,futil-sc,cell_lut2,460
gramschmidt,futil-sc,cell_lut3,168
gramschmidt,futil-sc,cell_lut4,242
gramschmidt,futil-sc,cell_lut5,124
gramschmidt,futil-sc,cell_lut6,373
gramschmidt,futil-sc,cell_fdre,1285
